age,marital_status,education_level,gender,percent_hike,distance_from_home,sourcing_channel,total_rounds,date_1st_contact,date_offered,satisfaction_index,no_companies_worked,career_growth,flexi_work,total_experience,timely_communication,offer_dropped,Time_to_offer
29,married,Associate Certification,Female,27,<15 kms,Internal Referrals,8,5/12/2015,10/14/2015,24,3,Lateral,Yes,5,No,Yes,155
37,married,Associate Degree,Female,22,<15 kms,Consultants,8,3/9/2015,9/3/2015,20,8,Lateral,Yes,13,No,Yes,178
28,married,Associate Certification,Female,32,<15 kms,Internal Referrals,8,12/17/2015,5/22/2016,23,4,Lateral,Yes,4,No,Yes,157
44,married,Associate Certification,Female,27,> 20 kms,Job Portals,9,12/11/2015,6/7/2016,26,6,Lateral,Yes,20,No,Yes,179
32,married,Bachelor Degree,Female,28,15-20 kms,Company Website,3,2/13/2016,3/11/2016,53,8,Vertical,Yes,8,No,No,27
44,married,Bachelor Degree,Female,34,> 20 kms,Social Media,9,3/14/2016,8/11/2016,30,7,Lateral,Yes,20,No,Yes,150
27,married,Bachelor Degree,Female,22,<15 kms,Consultants,3,12/17/2015,1/13/2016,47,5,Vertical,No,6,Yes,No,27
34,married,Associate Degree,Female,19,15-20 kms,Social Media,3,6/13/2015,6/26/2015,74,6,Lateral,No,10,No,No,13
33,single,Master Degree,Female,18,> 20 kms,Job Portals,10,6/16/2015,11/16/2015,18,8,Lateral,Yes,9,No,Yes,153
42,single,Associate Degree,Female,16,> 20 kms,Job Portals,6,7/12/2015,8/10/2015,88,8,Vertical,Yes,18,Yes,No,29
38,married,Associate Degree,Female,16,<15 kms,Social Media,10,7/10/2015,12/5/2015,20,5,Lateral,Yes,14,No,Yes,148
33,single,Bachelor Degree,Female,38,> 20 kms,Consultants,4,3/21/2016,4/4/2016,31,4,Vertical,Yes,9,No,No,14
35,single,Associate Certification,Female,40,> 20 kms,Internal Referrals,9,3/17/2015,8/30/2015,23,5,Lateral,Yes,11,No,Yes,166
25,divorced,Associate Certification,Female,40,> 20 kms,Social Media,9,11/14/2015,4/6/2016,28,1,Lateral,Yes,1,No,Yes,144
32,married,Bachelor Degree,Female,16,> 20 kms,Consultants,9,6/10/2015,12/5/2015,17,8,Lateral,Yes,8,No,Yes,178
35,married,Bachelor Degree,Female,25,<15 kms,Consultants,9,6/8/2016,11/16/2016,15,4,Lateral,Yes,11,No,Yes,161
37,married,Bachelor Degree,Female,28,<15 kms,Social Media,8,12/20/2015,5/9/2016,22,4,Lateral,Yes,13,No,Yes,141
25,married,Associate Certification,Female,35,15-20 kms,Company Website,7,7/10/2015,7/16/2015,66,1,Lateral,No,1,Yes,No,6
26,married,Associate Degree,Female,32,> 20 kms,Social Media,9,6/16/2015,11/3/2015,20,1,Lateral,Yes,2,No,Yes,140
31,single,Associate Degree,Female,18,> 20 kms,Company Website,3,10/15/2015,10/17/2015,55,3,Lateral,No,7,Yes,No,2
36,married,Associate Degree,Female,19,> 20 kms,Consultants,8,1/4/2015,5/28/2015,20,6,Lateral,Yes,12,No,Yes,144
38,married,Bachelor Degree,Female,25,> 20 kms,Company Website,9,5/16/2016,6/15/2016,80,5,Lateral,Yes,14,No,No,30
38,single,Master Degree,Female,16,<15 kms,Job Portals,9,4/5/2015,5/14/2015,45,6,Lateral,No,14,Yes,No,39
39,single,Associate Degree,Female,30,<15 kms,Job Portals,8,4/6/2015,10/1/2015,30,5,Lateral,Yes,15,No,Yes,178
25,married,Associate Certification,Female,39,<15 kms,Company Website,3,10/27/2015,11/11/2015,56,1,Vertical,No,1,No,No,15
39,married,Associate Degree,Female,19,15-20 kms,Job Portals,3,6/14/2016,7/23/2016,60,6,Lateral,Yes,15,Yes,No,39
40,married,Master Degree,Female,30,<15 kms,Consultants,9,10/20/2015,3/12/2016,28,7,Lateral,Yes,16,No,Yes,144
37,married,Bachelor Degree,Female,25,15-20 kms,Job Portals,8,2/8/2015,3/7/2015,42,6,Lateral,No,13,Yes,No,27
31,single,Associate Certification,Female,29,<15 kms,Consultants,9,6/10/2015,11/18/2015,24,3,Lateral,Yes,7,No,Yes,161
27,married,Bachelor Degree,Female,29,> 20 kms,Job Portals,5,3/21/2016,4/20/2016,92,3,Vertical,No,3,No,No,30
42,married,Associate Certification,Female,17,15-20 kms,Job Portals,4,4/16/2016,5/7/2016,88,6,Vertical,No,18,No,No,21
33,married,Bachelor Degree,Female,36,> 20 kms,Internal Referrals,8,5/27/2015,10/25/2015,20,8,Lateral,Yes,9,No,Yes,151
36,married,Associate Certification,Female,25,<15 kms,Internal Referrals,9,6/7/2015,10/28/2015,28,8,Lateral,Yes,12,No,Yes,143
38,married,Associate Degree,Female,30,> 20 kms,Job Portals,10,1/15/2016,7/12/2016,21,8,Lateral,Yes,14,No,Yes,179
41,divorced,Bachelor Degree,Female,16,> 20 kms,Job Portals,8,1/21/2016,6/19/2016,19,8,Lateral,Yes,17,No,Yes,150
43,married,Master Degree,Female,22,<15 kms,Consultants,10,12/19/2015,6/2/2016,28,7,Lateral,Yes,19,No,Yes,166
43,married,Bachelor Degree,Female,25,> 20 kms,Consultants,8,2/13/2016,8/8/2016,20,7,Lateral,Yes,19,No,Yes,177
41,married,Bachelor Degree,Female,29,> 20 kms,Social Media,10,7/16/2015,1/7/2016,24,8,Lateral,Yes,17,No,Yes,175
38,married,Master Degree,Female,32,> 20 kms,Social Media,10,3/25/2016,8/18/2016,29,4,Lateral,Yes,8,No,Yes,146
34,married,Associate Degree,Female,37,<15 kms,Job Portals,3,5/8/2016,5/25/2016,32,4,Lateral,Yes,10,Yes,No,17
45,unknown,Associate Degree,Female,35,> 20 kms,Social Media,9,10/20/2015,11/19/2015,73,7,Vertical,No,21,No,No,30
28,married,Associate Degree,Female,35,15-20 kms,Job Portals,5,9/22/2015,9/30/2015,66,3,Vertical,No,4,Yes,No,8
39,single,Associate Degree,Female,23,<15 kms,Consultants,3,5/4/2015,5/18/2015,87,5,Lateral,Yes,15,No,No,14
31,married,Associate Degree,Female,18,15-20 kms,Job Portals,3,12/25/2015,1/2/2016,79,5,Lateral,Yes,7,No,No,8
38,married,Bachelor Degree,Female,38,<15 kms,Job Portals,5,7/10/2015,7/19/2015,54,5,Lateral,No,14,No,No,9
35,single,Master Degree,Female,21,> 20 kms,Company Website,3,8/12/2015,8/22/2015,63,4,Vertical,Yes,11,Yes,No,10
33,married,Master Degree,Female,39,<15 kms,Company Website,6,8/25/2015,9/22/2015,35,6,Vertical,No,9,No,No,28
39,married,Associate Certification,Female,36,> 20 kms,Consultants,10,9/12/2015,2/26/2016,19,5,Lateral,Yes,15,No,Yes,167
29,married,Associate Degree,Female,20,> 20 kms,Job Portals,9,3/14/2016,4/4/2016,84,4,Vertical,Yes,5,No,No,21
38,married,Bachelor Degree,Female,18,> 20 kms,Social Media,6,3/27/2015,4/23/2015,41,4,Vertical,Yes,14,Yes,No,27
38,married,Master Degree,Female,27,<15 kms,Company Website,8,8/16/2015,8/22/2015,30,7,Lateral,Yes,14,No,No,6
41,married,Associate Certification,Female,26,<15 kms,Job Portals,4,3/12/2016,4/2/2016,85,3,Lateral,Yes,17,Yes,No,21
25,married,Associate Degree,Female,22,> 20 kms,Social Media,8,10/20/2015,3/24/2016,19,2,Lateral,Yes,1,No,Yes,156
39,single,Associate Degree,Female,23,> 20 kms,Consultants,10,11/24/2015,5/22/2016,29,5,Lateral,Yes,15,No,Yes,180
27,married,Associate Degree,Female,22,<15 kms,Internal Referrals,9,9/13/2015,2/21/2016,24,5,Lateral,Yes,3,No,Yes,161
44,married,Master Degree,Female,38,<15 kms,Job Portals,10,3/14/2015,8/2/2015,15,6,Lateral,Yes,20,No,Yes,141
